User_id,Product_id,Rating,Date,Review,Label
923,0,3,12/8/2014,The food at snack is a selection of popular Greek dishes. The appetizer tray is good as is the Greek salad. We were underwhelmed with the main courses. There are 4-5 tables here so it's sometimes hard to get seated.,-1
924,0,3,5/16/2013,"This little place in Soho is wonderful. I had a lamb sandwich and a glass of wine. The price shocked me for how small the serving was, but then again, this is Soho. The staff can be a little snotty and rude, but the food is great, just don't expect world-class service.",-1
925,0,4,7/1/2013,"ordered lunch for 15 from Snack last Friday. Â On time, nothing missing and the food was great. Â I have added it to the regular company lunch list, as everyone enjoyed their meal.",-1
926,0,4,7/28/2011,"This is a beautiful quaint little restaurant on a pretty street. Â If you're strolling through soho around lunchtime, this would be a great place to stop for a bite. I heard the reviews about the lamb sandwich, so I had to try it. I'm very happy that i did. Every single ingredient - from the bread to the onions and tomatoes, the lamb and the sauce - was delicious. These four stars are well deserved because of the tasty sandwich and great ambiance. Â I would recommend this place to anyone.",-1
927,0,4,11/1/2010,"Snack is great place for a Â casual sit down lunch- especially on a cold winter day. Â In many ways the restaurant mirrors the food- simple yet unique. Â The avgolemono soup was lemony perfection and the butter bean salad hearty yet light. Â The greek coffee is different...they sweeten it with honey which makes for an interesting thickness and sweet spice. I definitely plan on going back for dinner. Â If the small space doesn't suit you their sister restaurant Snack Taverna in the West Village is just as good, if not better...and more ""upscale"" with waiters who make you feel well taken care of.",-1
928,0,4,9/2/2009,"A solid 4 stars for this greek food spot. Â If you're a fan of lamb like I am, you must come here and try the lamb sandwich. Â Amazingly tender and juicy with onions and arugula. Â Also had a good greek salad.",-1
929,0,4,8/25/2009,"Let me start with a shout-out to everyone who is boosting the mint lemonade. That stuff is super tasty. Â I refuse to believe you can get fresher, more delicious Greek food for your dollar. Â  I sport the lunch here regularly: huge sandwiches filled with marinated vegetables or succulent meats (the lamb is particularly choice) on a floury ciabatta with an ideal crust-crunch to soft-inner-womb. Â  The cold meze options are favorites. Â I know that anyone can take good feta, cover it with salt, pepper, olive oil, and dish it up with some olives and tomatoes, but the quality and proportion of each of those ingredients is what makes it special here. Â Heaven. You can rock a sandwich for $7.50 to $9.50 or grab bigger meals for no more than the mid-teens. Â Get it done.",-1
930,0,4,5/20/2007,Love this place! Â Try the Chicken sandwich or the Roasted Chicken. Â Those are winners every time. Â Really delicious and worth the wait.,-1
931,0,4,12/27/2005,"My friend and I were intrigued by the nightly entree special, ""Little Shoes,"" (eggplant stuffed with ground sirloin), and so we decided to eat at Snack. Although very tiny, we were able to stand while we waited and have a glass of wine at the narrow 'bar.' I absolutely loved the atmosphere, but I was a bit disappointed to find out that they were out of the entree special by the time we sat down. My substitute entree, Veg. Moussaka, was hearty and good, but cinnamon overpowered the other flavors. My friend had the stuffed tomato and green pepper plate, which I liked better.",-1
932,0,5,5/9/2014,"Stopped in for lunch today and couldn't believe how delicious everything was! My boyfriend and I shared an avgolemono soup, lamb sandwich, spanakoptikia and baklava. Everything came out super quickly and far exceeded our expectations. Â The service was wonderful too! We will definitely be back!",-1
933,0,5,1/21/2014,pretty cool place...good food...good people,-1
